ANO,MES,COD_NCM,COD_UNIDADE,COD_PAIS,SG_UF,COD_VIA,COD_URF,VL_QUANTIDADE,VL_PESO_KG,VL_FOB,MOVIMENTACAO
2020,11,16022000,10,607,SP,0,817800,0,0,2,Exportação
2020,2,40169200,10,476,SP,0,417902,0,0,6,Exportação
2020,8,8011900,10,434,RS,0,1017700,75,75,73,Exportação
2020,1,61143000,11,580,SC,4,817700,101,26,1659,Exportação
2020,6,44123900,16,23,SC,1,927800,260,129200,63598,Exportação
2020,4,9041100,10,464,SP,1,817800,25800,25800,46628,Exportação
2020,11,40082100,10,158,SP,4,817700,1540,1540,48920,Exportação
2020,3,39241000,10,391,PR,1,917800,209,209,500,Exportação
2020,8,85166000,11,586,SC,7,917500,3993,53207,218200,Exportação
2020,4,9011110,21,827,MG,0,817800,378,378000,846960,Exportação
2020,3,21031010,10,476,PR,0,917800,6,6,19,Exportação
2020,10,87084019,11,589,SP,4,817700,4,586,15732,Exportação
2020,2,2062100,10,351,MG,1,817800,55304,55304,126575,Exportação
2020,12,84219199,10,63,SC,4,817700,67,67,1170,Exportação
2020,8,43021990,11,69,RS,1,1017700,4977,17398,308786,Exportação
2020,6,23099090,10,251,MG,1,817800,66000,66000,42573,Exportação
2020,8,2071400,10,556,GO,1,917800,5562,5562,12286,Exportação
2020,4,84719090,11,493,RJ,4,817700,34,59,43550,Exportação
2020,9,23040090,21,190,MT,0,917800,2450,2450000,787500,Exportação
2020,11,84249090,10,845,SP,4,817700,2,2,537,Exportação
2020,12,68029990,10,239,ES,1,727600,38196,38196,54689,Exportação
2020,9,61089100,11,386,SP,1,817800,1306,193,5273,Exportação
2020,6,84831019,11,756,SP,4,817600,2,129,1735,Exportação
2020,7,90211010,10,607,PR,4,917900,56,56,29937,Exportação
2020,11,87089100,11,63,SP,7,1017503,4983,15237,171670,Exportação
2020,1,32041700,10,586,RS,7,917500,840,840,6673,Exportação
2020,2,1051190,11,586,PR,7,917500,729510,37295,293738,Exportação
2020,1,71039900,19,149,RS,1,1017700,118260100,23653,167886,Exportação
2020,9,84842000,10,317,SP,1,817800,1,1,145,Exportação
2020,8,44123900,16,235,SC,0,927800,32,17939,10869,Exportação
2020,10,90278099,11,845,MG,4,817600,1,5,5400,Exportação
2020,7,84219999,10,845,SP,7,1017701,5490,5490,68415,Exportação
2020,7,16010000,10,476,MA,0,317903,104,104,376,Exportação
2020,9,43021990,11,361,RS,4,817600,62,256,6910,Exportação
2020,10,4090000,10,467,SP,12,817800,26,26,83,Exportação
2020,3,84229090,10,158,SP,4,817600,17,17,22842,Exportação
2020,5,90212190,10,741,SP,4,817700,1,1,1144,Exportação
2020,9,73181600,10,63,SP,4,817700,160,159,25346,Exportação
2020,12,82041100,10,63,SP,1,817800,28,28,367,Exportação
2020,11,84778090,11,249,SP,4,817600,1,45,10388,Exportação
2020,3,15081000,10,434,AM,0,227600,100,100,179,Exportação
